combo_id,fib_id,zoi_id,zoi_zone,pocket_vs_zone,fib_class,zoi_position,combined_verdict,fib_verdict,zoi_verdict,rule_explanation
F1xZ6xOVL,F1,Z6,demand,OVERLAP,IN_POCKET_UP,BELOW_DEMAND,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ6xPBLW,F1,Z6,demand,POCKET_BELOW,IN_POCKET_UP,BELOW_DEMAND,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ13xOVL,F1,Z13,demand,OVERLAP,IN_POCKET_UP,STACKED_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: 2+ demand zones overlap here (multi-zone confluence). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F1xZ7xOVL,F1,Z7,supply,OVERLAP,IN_POCKET_UP,INSIDE_SUPPLY,AVOID,BUY,AVOID,DANGEROUS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is inside a supply zone (active institutional selling). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F1xZ8xOVL,F1,Z8,supply,OVERLAP,IN_POCKET_UP,NEAR_BELOW_SUPPLY,AVOID,BUY,AVOID,DANGEROUS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F1xZ8xPBLW,F1,Z8,supply,POCKET_BELOW,IN_POCKET_UP,NEAR_BELOW_SUPPLY,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ9xPBLW,F1,Z9,supply,POCKET_BELOW,IN_POCKET_UP,FAR_BELOW_SUPPLY,BUY,BUY,WAIT,VALID ENTRY - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: the nearest supply zone is >10% overhead (not a factor). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). Fib and zone align bullish - take the trade.
F1xZ10xOVL,F1,Z10,supply,OVERLAP,IN_POCKET_UP,ABOVE_SUPPLY_UP,BUY*,BUY,BUY,"HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price broke above a supply zone and is rising (breakout, old resistance now support). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry."
F1xZ10xPABV,F1,Z10,supply,POCKET_ABOVE,IN_POCKET_UP,ABOVE_SUPPLY_UP,BUY,BUY,BUY,"VALID ENTRY - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price broke above a supply zone and is rising (breakout, old resistance now support). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade."
F1xZ11xOVL,F1,Z11,supply,OVERLAP,IN_POCKET_UP,ABOVE_SUPPLY_DOWN,AVOID,BUY,AVOID,DANGEROUS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price broke above supply but is falling back (failed breakout / bull trap). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F1xZ11xPABV,F1,Z11,supply,POCKET_ABOVE,IN_POCKET_UP,ABOVE_SUPPLY_DOWN,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price broke above supply but is falling back (failed breakout / bull trap). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ11bxPABV,F1,Z11b,supply,POCKET_ABOVE,IN_POCKET_UP,ABOVE_SUPPLY_EXTENDED,CAUTION,BUY,WAIT,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price ran >5% past the broken supply zone (extended). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ12xNA,F1,Z12,none,N/A,IN_POCKET_UP,BETWEEN,BUY,BUY,WAIT,"VALID ENTRY - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is between zones (no demand or supply nearby). Geometry: price is between zones, so there is no zone band to align with the pocket. Fib and zone align bullish - take the trade."
F2xZ1xOVL,F2,Z1,demand,OVERLAP,IN_POCKET_UP+RECOVERY,INSIDE_DEMAND_UP,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is inside a demand zone and rising (institutional support confirmed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F2xZ2xOVL,F2,Z2,demand,OVERLAP,IN_POCKET_UP+RECOVERY,INSIDE_DEMAND_DOWN,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is inside a demand zone but falling (zone breaking down). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ3xOVL,F2,Z3,demand,OVERLAP,IN_POCKET_UP+RECOVERY,NEAR_ABOVE_DEMAND_UP,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F2xZ3xPABV,F2,Z3,demand,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,NEAR_ABOVE_DEMAND_UP,BUY,BUY,BUY,VALID ENTRY - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade.
F2xZ4xOVL,F2,Z4,demand,OVERLAP,IN_POCKET_UP+RECOVERY,NEAR_ABOVE_DEMAND_DOWN,CAUTION,BUY,WATCH,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ4xPABV,F2,Z4,demand,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,NEAR_ABOVE_DEMAND_DOWN,CAUTION,BUY,WATCH,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ5xPABV,F2,Z5,demand,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,FAR_ABOVE_DEMAND,CAUTION,BUY,WAIT,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is >10% above the nearest demand zone (extended). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ5cxOVL,F2,Z5c,demand,OVERLAP,IN_POCKET_UP+RECOVERY,RECOVERY_INSIDE_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price recovered from below back into a demand zone (level reclaimed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F2xZ5dxOVL,F2,Z5d,demand,OVERLAP,IN_POCKET_UP+RECOVERY,RECOVERY_ABOVE_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F2xZ5dxPABV,F2,Z5d,demand,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,RECOVERY_ABOVE_DEMAND,BUY,BUY,BUY,VALID ENTRY - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade.
F2xZ6xOVL,F2,Z6,demand,OVERLAP,IN_POCKET_UP+RECOVERY,BELOW_DEMAND,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ6xPBLW,F2,Z6,demand,POCKET_BELOW,IN_POCKET_UP+RECOVERY,BELOW_DEMAND,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ13xOVL,F2,Z13,demand,OVERLAP,IN_POCKET_UP+RECOVERY,STACKED_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: 2+ demand zones overlap here (multi-zone confluence). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F2xZ7xOVL,F2,Z7,supply,OVERLAP,IN_POCKET_UP+RECOVERY,INSIDE_SUPPLY,AVOID,BUY,AVOID,DANGEROUS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is inside a supply zone (active institutional selling). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F2xZ8xOVL,F2,Z8,supply,OVERLAP,IN_POCKET_UP+RECOVERY,NEAR_BELOW_SUPPLY,AVOID,BUY,AVOID,DANGEROUS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F2xZ8xPBLW,F2,Z8,supply,POCKET_BELOW,IN_POCKET_UP+RECOVERY,NEAR_BELOW_SUPPLY,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ9xPBLW,F2,Z9,supply,POCKET_BELOW,IN_POCKET_UP+RECOVERY,FAR_BELOW_SUPPLY,BUY,BUY,WAIT,VALID ENTRY - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: the nearest supply zone is >10% overhead (not a factor). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). Fib and zone align bullish - take the trade.
F2xZ10xOVL,F2,Z10,supply,OVERLAP,IN_POCKET_UP+RECOVERY,ABOVE_SUPPLY_UP,BUY*,BUY,BUY,"HIGHEST-CONVICTION CONFLUENCE - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price broke above a supply zone and is rising (breakout, old resistance now support). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry."
F2xZ10xPABV,F2,Z10,supply,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,ABOVE_SUPPLY_UP,BUY,BUY,BUY,"VALID ENTRY - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price broke above a supply zone and is rising (breakout, old resistance now support). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade."
F2xZ11xOVL,F2,Z11,supply,OVERLAP,IN_POCKET_UP+RECOVERY,ABOVE_SUPPLY_DOWN,AVOID,BUY,AVOID,DANGEROUS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price broke above supply but is falling back (failed breakout / bull trap). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F2xZ11xPABV,F2,Z11,supply,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,ABOVE_SUPPLY_DOWN,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price broke above supply but is falling back (failed breakout / bull trap). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ11bxPABV,F2,Z11b,supply,POCKET_ABOVE,IN_POCKET_UP+RECOVERY,ABOVE_SUPPLY_EXTENDED,CAUTION,BUY,WAIT,"CONFLICTING SIGNALS - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price ran >5% past the broken supply zone (extended). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F2xZ12xNA,F2,Z12,none,N/A,IN_POCKET_UP+RECOVERY,BETWEEN,BUY,BUY,WAIT,"VALID ENTRY - Fib: price recovered from near the swing low back into the golden pocket and is making HH-HL (reversal). ZOI: price is between zones (no demand or supply nearby). Geometry: price is between zones, so there is no zone band to align with the pocket. Fib and zone align bullish - take the trade."
F3xZ1xOVL,F3,Z1,demand,OVERLAP,IN_POCKET_DOWN,INSIDE_DEMAND_UP,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is inside a demand zone and rising (institutional support confirmed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ2xOVL,F3,Z2,demand,OVERLAP,IN_POCKET_DOWN,INSIDE_DEMAND_DOWN,WAIT,WAIT,AVOID,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is inside a demand zone but falling (zone breaking down). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). No confirmed signal; wait for price to reach a zone or confirm direction.
F3xZ3xOVL,F3,Z3,demand,OVERLAP,IN_POCKET_DOWN,NEAR_ABOVE_DEMAND_UP,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ3xPABV,F3,Z3,demand,POCKET_ABOVE,IN_POCKET_DOWN,NEAR_ABOVE_DEMAND_UP,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ4xOVL,F3,Z4,demand,OVERLAP,IN_POCKET_DOWN,NEAR_ABOVE_DEMAND_DOWN,WAIT,WAIT,WATCH,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). No confirmed signal; wait for price to reach a zone or confirm direction.
F3xZ4xPABV,F3,Z4,demand,POCKET_ABOVE,IN_POCKET_DOWN,NEAR_ABOVE_DEMAND_DOWN,WAIT,WAIT,WATCH,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). No confirmed signal; wait for price to reach a zone or confirm direction.
F3xZ5xPABV,F3,Z5,demand,POCKET_ABOVE,IN_POCKET_DOWN,FAR_ABOVE_DEMAND,WAIT,WAIT,WAIT,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is >10% above the nearest demand zone (extended). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). No confirmed signal; wait for price to reach a zone or confirm direction.
F3xZ5cxOVL,F3,Z5c,demand,OVERLAP,IN_POCKET_DOWN,RECOVERY_INSIDE_DEMAND,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price recovered from below back into a demand zone (level reclaimed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ5dxOVL,F3,Z5d,demand,OVERLAP,IN_POCKET_DOWN,RECOVERY_ABOVE_DEMAND,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ5dxPABV,F3,Z5d,demand,POCKET_ABOVE,IN_POCKET_DOWN,RECOVERY_ABOVE_DEMAND,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ6xOVL,F3,Z6,demand,OVERLAP,IN_POCKET_DOWN,BELOW_DEMAND,AVOID,WAIT,AVOID,DANGEROUS - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F3xZ6xPBLW,F3,Z6,demand,POCKET_BELOW,IN_POCKET_DOWN,BELOW_DEMAND,AVOID,WAIT,AVOID,DANGEROUS - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price closed below the demand zone (support invalidated). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). High risk of loss - do not enter here.
F3xZ13xOVL,F3,Z13,demand,OVERLAP,IN_POCKET_DOWN,STACKED_DEMAND,WATCH,WAIT,BUY,SETUP FORMING - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: 2+ demand zones overlap here (multi-zone confluence). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The zone supports a long but the fib leg is not confirmed yet; wait for HH-HL before entering.
F3xZ7xOVL,F3,Z7,supply,OVERLAP,IN_POCKET_DOWN,INSIDE_SUPPLY,AVOID,WAIT,AVOID,DANGEROUS - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is inside a supply zone (active institutional selling). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F3xZ8xOVL,F3,Z8,supply,OVERLAP,IN_POCKET_DOWN,NEAR_BELOW_SUPPLY,AVOID,WAIT,AVOID,DANGEROUS - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). High risk of loss - do not enter here.
F3xZ8xPBLW,F3,Z8,supply,POCKET_BELOW,IN_POCKET_DOWN,NEAR_BELOW_SUPPLY,WAIT,WAIT,AVOID,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: price is 1-10% below a supply zone (resistance overhead). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). No confirmed signal; wait for price to reach a zone or confirm direction.
F3xZ9xPBLW,F3,Z9,supply,POCKET_BELOW,IN_POCKET_DOWN,FAR_BELOW_SUPPLY,WAIT,WAIT,WAIT,NOT ACTIONABLE YET - Fib: price is inside the golden pocket but still falling (no HH-HL bounce yet). ZOI: the nearest supply zone is >10% overhead (not a factor). Geometry: the golden pocket sits BELOW the zone (the zone is the nearer level; the pocket is a deeper/secondary level). No confirmed signal; wait for price to reach a zone or confirm direction.
